name,gender,image,weight,type_name,cat_name
REI Co-op Traverse 70,M,,78,backpack,Essentials
REI Co-op Traverse 65 - Womens,W,,75,backpack,Essentials
Osprey Atmos AG 65,M,,73,backpack,Essentials
Osprey Aura AG 65 - Womens,W,,71,backpack,Essentials
Osprey Levity 60,M,,31.2,backpack,Essentials
Osprey Lumina 60 - Womens,W,,30,backpack,Essentials
Gregory Baltoro 65,M,,79.4,backpack,Essentials
Gregory Deva 60 - Womens,W,,73.75,backpack,Essentials
Arct'teryx Bora AR 63,M,,80,backpack,Essentials
Arct'teryx Bora AR 61 - Womens,W,,76.8,backpack,Essentials
Osprey Aether AG 70,M,,83.5,backpack,Essentials
Osprey Ariel AG 65 - Womens,W,,78.4,backpack,Essentials
REI Co-op Trail 70,M,,82,backpack,Essentials
REI Co-op Trail 65 - Womens,W,,76,backpack,Essentials
Deuter Aircontact Lite 50+10,M,,62,backpack,Essentials
Deuter Aircontact Lite 45+10 - Womens,W,,60,backpack,Essentials
Kelty Coyote 65,M,,61,backpack,Essentials
Kelty Coyote 60 - Womens,W,,74,backpack,Essentials
Granite Gear Crown2 60,M,,38,backpack,Essentials
Granite Gear Crown2 60 - Womens,W,,35.2,backpack,Essentials
Gregory Paragon 58,M,,57,backpack,Essentials
Gregory Maven 55 - Womens,W,,54,backpack,Essentials
Osprey Exos 58,M,,43.5,backpack,Essentials
Osprey Eja 58 - Womens,W,,42,backpack,Essentials
Gossamer Gear Mariposa 60,U,,32.7,backpack,Essentials
Zpacks Arc Blast 55L,U,,21,backpack,Essentials
Hyperlite 3400 Southwest,U,,32.6,backpack,Essentials
ULA Circuit 68,U,,41,backpack,Essentials
Grand Trunk Skeeter Beeter Pro,,,30,shelter,Essentials
Hennessy Hammock Hyperlite,,,28,shelter,Essentials
Warbonnet Blackbird Hammock (without tarp),,,18,shelter,Essentials
Jacks 'R' Better Bear Mountain Bridge Hammock(without tarp),,,32,shelter,Essentials
REI Co-Op Quarter Dome 1,,,39,shelter,Essentials
Nemo Dagger 2P,,,53,shelter,Essentials
REI Co-op Half Dome 2 Plus,,,78,shelter,Essentials
Big Agnes Copper Spur HV UL2,,,49,shelter,Essentials
Zpacks Duplex Flex,,,31.2,shelter,Essentials
MSR Hubba Hubba NX,,,55,shelter,Essentials
Tarptent Double Rainbow,,,42,shelter,Essentials
Marmot Tugsten 2p,,,77,shelter,Essentials
Big Agnes Fly Creek HV UL2,,,31,shelter,Essentials
Kelty TrailLogic TN2,,,68,shelter,Essentials
Sierra Designs Backcountry Bed 700,M,,31,sleepingBag,Essentials
Sierra Designs Backcountry Bed 700 - Womens,W,,39,sleepingBag,Essentials
Mountain Hardwear Lamina Z,M,,43,sleepingBag,Essentials
Mountain Hardwear Lamina Z Flame 22 -Womens,W,,55.7,sleepingBag,Essentials
Katabatic Gear Flex 22,U,,22.5,sleepingBag,Essentials
Nemo Disco 30,M,,37,sleepingBag,Essentials
Nemo Rave 30 - Womens,W,,39,sleepingBag,Essentials
Marmot Trestles 20 Elite,M,,39,sleepingBag,Essentials
Marmot Trestles 20 Elite - Womens,W,,46.5,sleepingBag,Essentials
Western Mountaineering UltraLite,U,,29,sleepingBag,Essentials
REI Co-op Magma 10,M,,30,sleepingBag,Essentials
REI Co-op Magma 17 -Womens,W,,36,sleepingBag,Essentials
Feathered Friends UL 20 - Womens,W,,28,sleepingBag,Essentials
The North Face Furnace 20,M,,44,sleepingBag,Essentials
The North Face Furnace 20 - Womens,W,,50,sleepingBag,Essentials
REI Co-op Radiant 19,M,,40,sleepingBag,Essentials
REI Co-op Serrana 20 - Womens,W,,50,sleepingBag,Essentials
Marmot Sawtooth,M,,40,sleepingBag,Essentials
Marmot Angel Fire - Womens,W,,40.9,sleepingBag,Essentials
Enlightened Equipment Revelation 20,U,,20.3,sleepingBag,Essentials
Kelty Cosmic 20,M,,45,sleepingBag,Essentials
Kelty Cosmic 20 - Womens,W,,45,sleepingBag,Essentials
Therm-A-Rest NeoAir XLite,,,12,sleepingPad,Essentials
Big Agnes Insulated AXL,,,10.6,sleepingPad,Essentials
Therm-A-Rest NeoAir XTherm,,,15,sleepingPad,Essentials
Sea to Summit UltraLight Insulated,,,15.5,sleepingPad,Essentials
REI Co-op  Flash Insulated,,,15,sleepingPad,Essentials
Therm-A-Rest Z Lite Sol,,,14,sleepingPad,Essentials
Klymit Static V,,,18,sleepingPad,Essentials
NEMO Tensor Insulated,,,15,sleepingPad,Essentials
Big Agnes Q-Core SLX,,,16,sleepingPad,Essentials
MSR Pocket Rocket 2,,,2.6,stove,Essentials
Jetboil MiniMo Cooking System,,,14,stove,Essentials
Jetboil Flash Cooking System,,,13.1,stove,Essentials
Snow Peak LiteMax,,,1.9,stove,Essentials
Primus Classic Trail,,,6.7,stove,Essentials
MSR Windburner,,,15.5,stove,Essentials
MSR WhisperLite,,,11.5,stove,Essentials
Trail Designs Caldera Cone,,,3.25,stove,Essentials
Trangia Spirit Burner,,,3.9,stove,Essentials
Solo Stove Lite,,,9,stove,Essentials
Esbit Pocket Stove,,,3.25,stove,Essentials
"Fuel types(Gas, Liquid, Esbit)",,,0,otherEssentials,Essentials
MSR Ceramic 2-Pot Set,,,16,cookware,Essentials
Primus PrimeTech 2.3L Pot Set,,,22,cookware,Essentials
Stanley Adventure Base Camp,,,72,cookware,Essentials
Snow Peak Titanium Multi Compact,,,7,cookware,Essentials
GSI Outdoors Bugaboo Camper,,,55,cookware,Essentials
Katadyn Hiker Pro Clear,,,11,waterFilter,Essentials
MSR Guardian,,,17.3,waterFilter,Essentials
Sawyer Squeeze,,,3,waterFilter,Essentials
Platypus GravityWorks 4L,,,11.5,waterFilter,Essentials
SteriPen Ultra,,,4.8,waterFilter,Essentials
Aquamira Water Treatment Drops,,,2,waterFilter,Essentials
Smartwater Bottle 1L,,,1.2,waterBottleReservoir,Essentials
Hydro Flask Wide Mouth,,,14.1,waterBottleReservoir,Essentials
Nalgene Wide Mouth,,,6.3,waterBottleReservoir,Essentials
Platypus Big Zip LP,,,6.25,waterBottleReservoir,Essentials
Osprey Hydraulics LT Reservoir,,,6.15,waterBottleReservoir,Essentials
CamelBak Crux Reservoir,,,8,waterBottleReservoir,Essentials
Black Diamond Spot,,,3.1,headlamp,Essentials
Petzl Actik,,,2.9,headlamp,Essentials
Petzl Tikka,,,3,headlamp,Essentials
Black Diamond Iota,,,1.9,headlamp,Essentials
Princeton Tec Vizz,,,3.2,headlamp,Essentials
Petzl e+LITE,,,0.92,headlamp,Essentials
Compass,,,0,navigation,Essentials
Maps,,,0,navigation,Essentials
Handheld GPS,,,0,navigation,Essentials
Adventure Medical Kits Ultralight and Watertight .3 First Aid Kit,,,2.32,firstAid,Essentials
Adventure Medical Kits Ultralight and Watertight .7 First Aid Kit,,,8,firstAid,Essentials
"Ibuprofen - ""Vitamin I""",,,0,firstAid,Essentials
Sunglasses,,,1,otherEssentials,Essentials
Banana Boat Sport Sunscreen SPF 30,,,1,otherEssentials,Essentials
Montbell Sun Block Umbrella,,,7.1,otherEssentials,Essentials
Kiss My Face Sport Lip Balm - SPF 30,,,0.15,otherEssentials,Essentials
Tenacious Tape,,,0,repairKit,Essentials
Duct tape - 3ft,,,0,repairKit,Essentials
Tent pole repair sleeve,,,0,repairKit,Essentials
Multitool w/ scissors,,,0,repairKit,Essentials
Needle and thread(or dental floss),,,0,repairKit,Essentials
Safety pins,,,0,repairKit,Essentials
Osprey Ultralight Raincover,,,0.18,otherEssentials,Essentials
Permit - if required,,,0,otherEssentials,Essentials
GSI Cathole Sanitation Trowel,,,3.1,otherEssentials,Essentials
The TentLab The Deuce #2 Backcountry Trowel,,,0.6,otherEssentials,Essentials
"Weight (Lightweight, Midweight, Heavyweight)",,,0,topBaselayer,Clothing
"Fabric (Synthetic, Wool, Silk)",,,0,topBaselayer,Clothing
"Weight (Lightweight, Midweight, Heavyweight)",,,0,bottomBaselayer,Clothing
"Fabric (Synthetic, Wool, Silk)",,,0,bottomBaselayer,Clothing
ExOfficio Give-N-Go Sport Mesh Hipkini,W,,1.1,undergarments,Clothing
Smartwool Merino 150 Bikini,W,,0.7,undergarments,Clothing
Patagonia Barely Hipster,W,,0.8,undergarments,Clothing
Smartwool NTS Micro 150 Boxer Brief,M,,2.6,undergarments,Clothing
ExOfficio Give-N-Go Sport Boxer Briefs,M,,3.4,undergarments,Clothing
Brooks Juno Bra,W,,0,undergarments,Clothing
Patagonia Barely Bra,W,,0,undergarments,Clothing
Shock Absorber Ultimate Fly Bra,W,,0,undergarments,Clothing
Marmot Lobo's Convertible Pants,W,,0,bottoms,Clothing
Prana Halle,W,,0,bottoms,Clothing
Purple Rain Adventure Skirt,W,,0,bottoms,Clothing
Outdoor Reasearch Ferrosi Pants,M,,0,bottoms,Clothing
Columbia Silver Ridge Convertible,M,,0,bottoms,Clothing
Mountain Hardwear Elkommando Kilt,M,,0,bottoms,Clothing
ExOfficio Bugs Away,W,,0,tops,Clothing
The North Face Better Than Naked Short Sleeve,W,,0,tops,Clothing
Marmot Bridget Flannel,W,,0,tops,Clothing
Columbia Silver Ridge,M,,0,tops,Clothing
Mountain Hardwear Wicked,M,,0,tops,Clothing
Nike Dri-FIT Tailwind,M,,0,tops,Clothing
Mountain Harwear Ghost Whisperer Down Hooded Jacket,W,,4.5,outerwearClothing,Clothing
Arc'teryx  Atom LT Hoody,W,,12.7,outerwearClothing,Clothing
My Trail Co 850 Fill HL Hooded Down Jacket,M,,11,outerwearClothing,Clothing
Patagonia Nano-Air Hoody,M,,14,outerwearClothing,Clothing
Marmot Precip - Womens,W,,9.4,outerwearClothing,Clothing
Outdoor Reasearch Helium II - Womens,W,,5.82,outerwearClothing,Clothing
Outdoor Research Aspire - Womens,W,,14,outerwearClothing,Clothing
Arc'teryx Beta SL,M,,11,outerwearClothing,Clothing
Marmot PreCip,M,,10.5,outerwearClothing,Clothing
Outdoor Research Helium II,M,,6.4,outerwearClothing,Clothing
Buff - Original Multifunctional,,,1.28,outerwearClothing,Clothing
Arc'teryx RHO AR Balaclava,,,1.2,outerwearClothing,Clothing
Seirus Thermax Headliner Balaclava,,,1.6,outerwearClothing,Clothing
Columbia Sportswear Bora Bora Booney II Sun Hat,,,3.5,outerwearClothing,Clothing
Baseball Cap,,,3.9,outerwearClothing,Clothing
Outdoor Research Sun Runner Cap,,,2.82,outerwearClothing,Clothing
SmartWool Cuffed Beanie,,,2.4,outerwearClothing,Clothing
Mountain Hardwear Micro Dome,,,1,outerwearClothing,Clothing
Fox River Wool Glomitts,,,0,outerwearClothing,Clothing
Saucony Peregrine 8,,,0,bootsShoesFootwear,Footwear
Altra Lone Peak 3.5,,,0,bootsShoesFootwear,Footwear
Brooks Cascadia 12,,,0,bootsShoesFootwear,Footwear
Salomon X Ultra 3 Low,,,0,bootsShoesFootwear,Footwear
Merrell Moab 2 Ventilator Low,,,0,bootsShoesFootwear,Footwear
The North Face Ultra 110 GTX,,,0,bootsShoesFootwear,Footwear
Merrell Moab 2 Mid Ventilator,,,0,bootsShoesFootwear,Footwear
Salomon Quest 4D 3 GTX,,,0,bootsShoesFootwear,Footwear
Lowa Renegade GTX Mid,,,0,bootsShoesFootwear,Footwear
Darn Tough Micro Crew Cushion,,,0,socks,Footwear
REI Co-op Lightweight Merino,,,0,socks,Footwear
Smartwool Hike Light Crew,,,0,socks,Footwear
Injinji Outdoor Midweight NuWool,,,0,socks,Footwear
REI Co-op Traverse Power Lock Cork,,,20,tools,Optional
Black Diamond Distance Carbon Z,,,10.4,tools,Optional
Leki Micro Vario Ti Cor-Tec,,,19,tools,Optional
Black Diamond Trail Pro Shock,,,21,tools,Optional
Marmot PreCip Pants,W,,11.5,outerwearOptional,Optional
Patagonia Womens Torrentshell,W,,8.6,outerwearOptional,Optional
Outdoor Research Helium Pants,M,,5.4,outerwearOptional,Optional
REI Co-op Rain Pants,M,,11,outerwearOptional,Optional
Zpacks Ultralight StuffSacks,,,0.1,sacks,Optional
REI Co-op Lightweight Stuff Sack 10L,,,0.9,sacks,Optional
DIY/ Zip-Loc,,,0,sacks,Optional
Sea to Summit Ultra-Sil Compression Dry Sack 10L,,,2.6,sacks,Optional
Sea to Summit eVent Compression Dry Sack 10L,,,4.5,sacks,Optional
Outdoor Research Verglas,,,7.3,Outerwear,Optional
Dirty Girl Gaiters,,,1.5,Outerwear,Optional
SPOT Gen3 Satellite GPS Messenger,,,4,Tools,Optional
Garmin inReach Explorer+ 2-Way Satellite Communicator,,,7.5,Tools,Optional
Goal Zero Nomad 7 plus,,,13,Tools,Optional
Anker Astro E1 6700,,,4.3,Tools,Optional
Crocs,,,12,bootsShoesOptional,Optional
Xero Shoes Z-Trail,,,8.6,bootsShoesOptional,Optional
Helinox Chair,,,17,otherOptional,Optional
REI Co-op Flexlite Chair,,,26,otherOptional,Optional
Cotton Buds Tissue To GO Toilet  Paper,,,1.3,personal,Optional
No Rinse Bathing Wipes,,,7,personal,Optional
Aurelle TOOB Brush,,,1,personal,Optional
Sawyer Jungle Juice 100 Pump Spray Insect Repellent,,,2,personal,Optional
